Domain Code,Area Code,Indicator Code,Sex Code,Sex,Year,Element Code,Element,Source Code,Unit,Value,Flag,Note
OEA,237,21144,3,Female,2021,6199,Value,3043,1000 No,7449.14,X,Adjusted
OEA,237,21085,1,Total,1991,6228,Value,3043,USD,557.6,X,nan
OEA,237,21085,1,Total,1992,6228,Value,3043,USD,589.09,X,nan
OEA,237,21085,1,Total,1993,6228,Value,3043,USD,605.24,X,nan
OEA,237,21085,1,Total,1994,6228,Value,3043,USD,623.08,X,nan
OEA,237,21085,1,Total,1995,6228,Value,3043,USD,647.1,X,nan
OEA,237,21085,1,Total,1996,6228,Value,3043,USD,669.69,X,nan
OEA,237,21085,1,Total,1997,6228,Value,3043,USD,750.07,X,nan
OEA,237,21085,1,Total,1998,6228,Value,3043,USD,762.73,X,nan
OEA,237,21085,1,Total,1999,6228,Value,3043,USD,781.17,X,nan
OEA,237,21085,1,Total,2000,6228,Value,3043,USD,806.69,X,nan
OEA,237,21085,1,Total,2001,6228,Value,3043,USD,824.07,X,nan
OEA,237,21085,1,Total,2002,6228,Value,3043,USD,866.28,X,nan
OEA,237,21085,1,Total,2003,6228,Value,3043,USD,921.1,X,nan
OEA,237,21085,1,Total,2004,6228,Value,3043,USD,977.38,X,nan
OEA,237,21085,1,Total,2005,6228,Value,3043,USD,1037.03,X,nan
OEA,237,21085,1,Total,2006,6228,Value,3043,USD,1104.5,X,nan
OEA,237,21085,1,Total,2007,6228,Value,3043,USD,1164.87,X,nan
OEA,237,21085,1,Total,2008,6228,Value,3043,USD,1202.56,X,nan
OEA,237,21085,1,Total,2009,6228,Value,3043,USD,1214.66,X,nan
OEA,237,21085,1,Total,2010,6228,Value,3043,USD,1159.5,X,nan
OEA,237,21085,1,Total,2011,6228,Value,3043,USD,1197.5,X,nan
OEA,237,21085,1,Total,2012,6228,Value,3043,USD,1241.85,X,nan
OEA,237,21085,1,Total,2013,6228,Value,3043,USD,1263.42,X,nan
OEA,237,21085,1,Total,2014,6228,Value,3043,USD,1303.56,X,nan
OEA,237,21085,1,Total,2015,6228,Value,3043,USD,1394.43,X,nan
OEA,237,21085,1,Total,2016,6228,Value,3043,USD,1481.32,X,nan
OEA,237,21085,1,Total,2017,6228,Value,3043,USD,1580.25,X,nan
OEA,237,21085,1,Total,2018,6228,Value,3043,USD,1725.09,X,nan
OEA,237,21085,1,Total,2019,6228,Value,3043,USD,1886.31,X,nan
OEA,237,21085,1,Total,2020,6228,Value,3043,USD,2129.32,X,nan
OEA,237,21156,1,Total,1991,6121,Value,3043,%,75.0,X,nan
OEA,237,21156,1,Total,1992,6121,Value,3043,%,74.1,X,nan
OEA,237,21156,1,Total,1993,6121,Value,3043,%,73.2,X,nan
OEA,237,21156,1,Total,1994,6121,Value,3043,%,72.1,X,nan
OEA,237,21156,1,Total,1995,6121,Value,3043,%,71.0,X,nan
OEA,237,21156,1,Total,1996,6121,Value,3043,%,70.0,X,Adjusted
OEA,237,21156,1,Total,1997,6121,Value,3043,%,65.3,X,Adjusted
OEA,237,21156,1,Total,1998,6121,Value,3043,%,64.8,X,Adjusted
OEA,237,21156,1,Total,1999,6121,Value,3043,%,65.0,X,Adjusted
OEA,237,21156,1,Total,2000,6121,Value,3043,%,65.3,X,Adjusted
OEA,237,21156,1,Total,2001,6121,Value,3043,%,64.0,X,Adjusted
OEA,237,21156,1,Total,2002,6121,Value,3043,%,62.0,X,Adjusted
OEA,237,21156,1,Total,2003,6121,Value,3043,%,59.7,X,Adjusted
OEA,237,21156,1,Total,2004,6121,Value,3043,%,57.9,X,Adjusted
OEA,237,21156,1,Total,2005,6121,Value,3043,%,54.8,X,nan
OEA,237,21156,1,Total,2006,6121,Value,3043,%,51.7,X,Adjusted
OEA,237,21156,1,Total,2007,6121,Value,3043,%,49.3,X,Adjusted
OEA,237,21156,1,Total,2008,6121,Value,3043,%,48.5,X,nan
OEA,237,21156,1,Total,2009,6121,Value,3043,%,47.6,X,Adjusted
OEA,237,21156,1,Total,2010,6121,Value,3043,%,48.7,X,Adjusted
OEA,237,21156,1,Total,2011,6121,Value,3043,%,48.3,X,Adjusted
OEA,237,21156,1,Total,2012,6121,Value,3043,%,47.4,X,Adjusted
OEA,237,21156,1,Total,2013,6121,Value,3043,%,46.8,X,Adjusted
OEA,237,21156,1,Total,2014,6121,Value,3043,%,46.3,X,Adjusted
OEA,237,21156,1,Total,2015,6121,Value,3043,%,44.0,X,Adjusted
OEA,237,21156,1,Total,2016,6121,Value,3043,%,41.9,X,Adjusted
OEA,237,21156,1,Total,2017,6121,Value,3043,%,40.2,X,Adjusted
OEA,237,21156,1,Total,2018,6121,Value,3043,%,37.7,X,Adjusted
OEA,237,21156,1,Total,2019,6121,Value,3043,%,35.0,X,nan
OEA,237,21156,1,Total,2020,6121,Value,3043,%,32.6,X,Adjusted
OEA,237,21156,1,Total,2021,6121,Value,3043,%,29.0,X,Adjusted
OEA,237,21156,2,Male,1991,6121,Value,3043,%,74.2,X,Adjusted
OEA,237,21156,2,Male,1992,6121,Value,3043,%,73.4,X,Adjusted
OEA,237,21156,2,Male,1993,6121,Value,3043,%,72.5,X,Adjusted
OEA,237,21156,2,Male,1994,6121,Value,3043,%,71.6,X,Adjusted
OEA,237,21156,2,Male,1995,6121,Value,3043,%,70.6,X,Adjusted
OEA,237,21156,2,Male,1996,6121,Value,3043,%,69.6,X,Adjusted
OEA,237,21156,2,Male,1997,6121,Value,3043,%,64.6,X,Adjusted
OEA,237,21156,2,Male,1998,6121,Value,3043,%,64.0,X,Adjusted
OEA,237,21156,2,Male,1999,6121,Value,3043,%,64.5,X,Adjusted
OEA,237,21156,2,Male,2000,6121,Value,3043,%,64.3,X,Adjusted
OEA,237,21156,2,Male,2001,6121,Value,3043,%,63.1,X,Adjusted
OEA,237,21156,2,Male,2002,6121,Value,3043,%,61.0,X,Adjusted
OEA,237,21156,2,Male,2003,6121,Value,3043,%,57.8,X,Adjusted
OEA,237,21156,2,Male,2004,6121,Value,3043,%,55.9,X,Adjusted
OEA,237,21156,2,Male,2005,6121,Value,3043,%,52.8,X,Adjusted
OEA,237,21156,2,Male,2006,6121,Value,3043,%,49.7,X,Adjusted
OEA,237,21156,2,Male,2007,6121,Value,3043,%,47.2,X,Adjusted
OEA,237,21156,2,Male,2008,6121,Value,3043,%,46.3,X,Adjusted
OEA,237,21156,2,Male,2009,6121,Value,3043,%,45.3,X,Adjusted
OEA,237,21156,2,Male,2010,6121,Value,3043,%,46.4,X,Adjusted
OEA,237,21156,2,Male,2011,6121,Value,3043,%,45.9,X,Adjusted
OEA,237,21156,2,Male,2012,6121,Value,3043,%,45.4,X,Adjusted
OEA,237,21156,2,Male,2013,6121,Value,3043,%,45.0,X,Adjusted
OEA,237,21156,2,Male,2014,6121,Value,3043,%,44.7,X,Adjusted
OEA,237,21156,2,Male,2015,6121,Value,3043,%,42.7,X,Adjusted
OEA,237,21156,2,Male,2016,6121,Value,3043,%,40.4,X,Adjusted
OEA,237,21156,2,Male,2017,6121,Value,3043,%,39.0,X,Adjusted
OEA,237,21156,2,Male,2018,6121,Value,3043,%,36.8,X,Adjusted
OEA,237,21156,2,Male,2019,6121,Value,3043,%,33.8,X,Adjusted
OEA,237,21156,2,Male,2020,6121,Value,3043,%,31.5,X,Adjusted
OEA,237,21156,2,Male,2021,6121,Value,3043,%,29.3,X,Adjusted
OEA,237,21156,3,Female,1991,6121,Value,3043,%,75.9,X,Adjusted
OEA,237,21156,3,Female,1992,6121,Value,3043,%,74.9,X,Adjusted
OEA,237,21156,3,Female,1993,6121,Value,3043,%,73.8,X,Adjusted
OEA,237,21156,3,Female,1994,6121,Value,3043,%,72.7,X,Adjusted
OEA,237,21156,3,Female,1995,6121,Value,3043,%,71.5,X,Adjusted
OEA,237,21156,3,Female,1996,6121,Value,3043,%,70.4,X,Adjusted
OEA,237,21156,3,Female,1997,6121,Value,3043,%,66.0,X,Adjusted
OEA,237,21156,3,Female,1998,6121,Value,3043,%,65.6,X,Adjusted
OEA,237,21156,3,Female,1999,6121,Value,3043,%,65.5,X,Adjusted
OEA,237,21156,3,Female,2000,6121,Value,3043,%,66.3,X,Adjusted
OEA,237,21156,3,Female,2001,6121,Value,3043,%,65.0,X,Adjusted
OEA,237,21156,3,Female,2002,6121,Value,3043,%,63.1,X,Adjusted
OEA,237,21156,3,Female,2003,6121,Value,3043,%,61.7,X,Adjusted
OEA,237,21156,3,Female,2004,6121,Value,3043,%,60.0,X,Adjusted
OEA,237,21156,3,Female,2005,6121,Value,3043,%,56.9,X,Adjusted
OEA,237,21156,3,Female,2006,6121,Value,3043,%,53.8,X,Adjusted
OEA,237,21156,3,Female,2007,6121,Value,3043,%,51.5,X,Adjusted
OEA,237,21156,3,Female,2008,6121,Value,3043,%,50.9,X,Adjusted
OEA,237,21156,3,Female,2009,6121,Value,3043,%,50.0,X,Adjusted
OEA,237,21156,3,Female,2010,6121,Value,3043,%,51.2,X,Adjusted
OEA,237,21156,3,Female,2011,6121,Value,3043,%,50.9,X,Adjusted
OEA,237,21156,3,Female,2012,6121,Value,3043,%,49.5,X,Adjusted
OEA,237,21156,3,Female,2013,6121,Value,3043,%,48.8,X,Adjusted
OEA,237,21156,3,Female,2014,6121,Value,3043,%,48.1,X,Adjusted
OEA,237,21156,3,Female,2015,6121,Value,3043,%,45.4,X,Adjusted
OEA,237,21156,3,Female,2016,6121,Value,3043,%,43.5,X,Adjusted
OEA,237,21156,3,Female,2017,6121,Value,3043,%,41.5,X,Adjusted
OEA,237,21156,3,Female,2018,6121,Value,3043,%,38.7,X,Adjusted
OEA,237,21156,3,Female,2019,6121,Value,3043,%,36.2,X,Adjusted
OEA,237,21156,3,Female,2020,6121,Value,3043,%,33.8,X,Adjusted
OEA,237,21156,3,Female,2021,6121,Value,3043,%,28.7,X,Adjusted
OEA,237,21066,1,Total,1996,6199,Value,3023,1000 No,24763.81,X,Data reference period: July
OEA,237,21066,1,Total,1997,6199,Value,3023,1000 No,23241.82,X,Data reference period: July
OEA,237,21066,1,Total,1998,6199,Value,3023,1000 No,23931.35,X,Data reference period: July
OEA,237,21066,1,Total,1999,6199,Value,3023,1000 No,24768.56,X,Data reference period: July
OEA,237,21066,1,Total,2000,6199,Value,3023,1000 No,25037.02,X,Data reference period: July
OEA,237,21066,1,Total,2001,6199,Value,3023,1000 No,24957.95,X,Data reference period: July
OEA,237,21066,1,Total,2002,6199,Value,3023,1000 No,24917.34,X,Data reference period: July
OEA,237,21066,1,Total,2003,6199,Value,3023,1000 No,24571.12,X,Data reference period: July
OEA,237,21066,1,Total,2004,6199,Value,3023,1000 No,24497.84,X,Data reference period: July
OEA,237,21066,1,Total,2006,6199,Value,3023,1000 No,24367.24,X,nan
OEA,237,21066,1,Total,2007,6199,Value,3023,1000 No,22674.29,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2009,6199,Value,3023,1000 No,22827.22,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2010,6199,Value,3023,1000 No,23970.22,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2011,6199,Value,3023,1000 No,24581.32,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2012,6199,Value,3023,1000 No,24347.93,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2013,6199,Value,3023,1000 No,24435.39,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2014,6199,Value,3023,1000 No,24427.57,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2015,6199,Value,3023,1000 No,23258.1,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2016,6199,Value,3023,1000 No,22313.93,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2017,6199,Value,3023,1000 No,21564.82,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2018,6199,Value,3023,1000 No,20465.12,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2019,6199,Value,3023,1000 No,18847.32,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OEA,237,21066,1,Total,2020,6199,Value,3023,1000 No,17390.78,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,1,Total,2021,6199,Value,3023,1000 No,14233.11,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,1996,6199,Value,3023,1000 No,12086.55,X,Data reference period: July
OEA,237,21066,2,Male,1997,6199,Value,3023,1000 No,11381.54,X,Data reference period: July
OEA,237,21066,2,Male,1998,6199,Value,3023,1000 No,11737.38,X,Data reference period: July
OEA,237,21066,2,Male,1999,6199,Value,3023,1000 No,12270.05,X,Data reference period: July
OEA,237,21066,2,Male,2000,6199,Value,3023,1000 No,12391.24,X,Data reference period: July
OEA,237,21066,2,Male,2001,6199,Value,3023,1000 No,12444.31,X,Data reference period: July
OEA,237,21066,2,Male,2002,6199,Value,3023,1000 No,12409.37,X,Data reference period: July
OEA,237,21066,2,Male,2003,6199,Value,3023,1000 No,12095.64,X,Data reference period: July
OEA,237,21066,2,Male,2004,6199,Value,3023,1000 No,12100.63,X,Data reference period: July
OEA,237,21066,2,Male,2006,6199,Value,3023,1000 No,11747.92,X,nan
OEA,237,21066,2,Male,2007,6199,Value,3023,1000 No,11010.3,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2009,6199,Value,3023,1000 No,11141.22,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2010,6199,Value,3023,1000 No,11780.09,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2011,6199,Value,3023,1000 No,12051.0,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2012,6199,Value,3023,1000 No,12014.15,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2013,6199,Value,3023,1000 No,12057.27,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2014,6199,Value,3023,1000 No,12054.34,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2015,6199,Value,3023,1000 No,11612.02,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2016,6199,Value,3023,1000 No,11068.32,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2017,6199,Value,3023,1000 No,10827.26,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2018,6199,Value,3023,1000 No,10420.03,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2019,6199,Value,3023,1000 No,9513.4,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OEA,237,21066,2,Male,2020,6199,Value,3023,1000 No,8903.61,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,2,Male,2021,6199,Value,3023,1000 No,7703.27,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,1996,6199,Value,3023,1000 No,12677.27,X,Data reference period: July
OEA,237,21066,3,Female,1997,6199,Value,3023,1000 No,11860.28,X,Data reference period: July
OEA,237,21066,3,Female,1998,6199,Value,3023,1000 No,12193.97,X,Data reference period: July
OEA,237,21066,3,Female,1999,6199,Value,3023,1000 No,12498.5,X,Data reference period: July
OEA,237,21066,3,Female,2000,6199,Value,3023,1000 No,12645.78,X,Data reference period: July
OEA,237,21066,3,Female,2001,6199,Value,3023,1000 No,12513.65,X,Data reference period: July
OEA,237,21066,3,Female,2002,6199,Value,3023,1000 No,12507.97,X,Data reference period: July
OEA,237,21066,3,Female,2003,6199,Value,3023,1000 No,12475.48,X,Data reference period: July
OEA,237,21066,3,Female,2004,6199,Value,3023,1000 No,12397.21,X,Data reference period: July
OEA,237,21066,3,Female,2006,6199,Value,3023,1000 No,12619.32,X,nan
OEA,237,21066,3,Female,2007,6199,Value,3023,1000 No,11663.99,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2009,6199,Value,3023,1000 No,11686.01,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2010,6199,Value,3023,1000 No,12190.13,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2011,6199,Value,3023,1000 No,12530.32,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2012,6199,Value,3023,1000 No,12333.78,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2013,6199,Value,3023,1000 No,12378.12,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2014,6199,Value,3023,1000 No,12373.23,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2015,6199,Value,3023,1000 No,11646.08,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2016,6199,Value,3023,1000 No,11245.61,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2017,6199,Value,3023,1000 No,10737.56,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2018,6199,Value,3023,1000 No,10045.09,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2019,6199,Value,3023,1000 No,9333.92,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OEA,237,21066,3,Female,2020,6199,Value,3023,1000 No,8487.17,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21066,3,Female,2021,6199,Value,3023,1000 No,6529.84,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2007,6199,Value,3023,1000 No,4031.06,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2009,6199,Value,3023,1000 No,4122.61,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2010,6199,Value,3023,1000 No,4231.7,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2011,6199,Value,3023,1000 No,3940.88,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2012,6199,Value,3023,1000 No,3532.78,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2013,6199,Value,3023,1000 No,3616.64,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2014,6199,Value,3023,1000 No,3344.93,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2015,6199,Value,3023,1000 No,3190.86,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2016,6199,Value,3023,1000 No,2837.56,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2017,6199,Value,3023,1000 No,2725.13,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2018,6199,Value,3023,1000 No,2389.14,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2019,6199,Value,3023,1000 No,2131.43,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OEA,237,21088,1,Total,2020,6199,Value,3023,1000 No,1737.49,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,1,Total,2021,6199,Value,3023,1000 No,1250.46,X,Repository: ILO-STATISTICS - Micro data processing
OEA,237,21088,2,Male,2007,6199,Value,3023,1000 No,2160.56,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
