Domain Code,Area,Indicator Code,Sex Code,Sex,Year,Element Code,Element,Source Code,Unit,Value,Flag,Note
OER,Viet Nam,21094,1,Total,2013,6199,Value,3023,1000 No,5754.17,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2014,6199,Value,3023,1000 No,5401.76,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2015,6199,Value,3023,1000 No,5554.26,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2016,6199,Value,3023,1000 No,5162.68,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2017,6199,Value,3023,1000 No,5155.35,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2018,6199,Value,3023,1000 No,4798.24,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2019,6199,Value,3023,1000 No,4681.98,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21094,1,Total,2020,6199,Value,3023,1000 No,4057.17,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2021,6199,Value,3023,1000 No,3648.51,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2007,6199,Value,3023,1000 No,3398.91,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2009,6199,Value,3023,1000 No,3545.87,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2010,6199,Value,3023,1000 No,3672.92,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2011,6199,Value,3023,1000 No,3476.67,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2012,6199,Value,3023,1000 No,3225.96,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2013,6199,Value,3023,1000 No,3258.46,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2014,6199,Value,3023,1000 No,3017.38,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2015,6199,Value,3023,1000 No,3122.23,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2016,6199,Value,3023,1000 No,2848.96,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2017,6199,Value,3023,1000 No,2864.68,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2018,6199,Value,3023,1000 No,2595.47,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2019,6199,Value,3023,1000 No,2587.25,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21094,2,Male,2020,6199,Value,3023,1000 No,2270.76,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,2,Male,2021,6199,Value,3023,1000 No,2006.12,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2007,6199,Value,3023,1000 No,3117.13,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2009,6199,Value,3023,1000 No,3219.06,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2010,6199,Value,3023,1000 No,3203.38,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2011,6199,Value,3023,1000 No,2743.43,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2012,6199,Value,3023,1000 No,2437.29,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2013,6199,Value,3023,1000 No,2495.72,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2014,6199,Value,3023,1000 No,2384.38,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2015,6199,Value,3023,1000 No,2432.03,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2016,6199,Value,3023,1000 No,2313.73,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2017,6199,Value,3023,1000 No,2290.68,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2018,6199,Value,3023,1000 No,2202.78,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2019,6199,Value,3023,1000 No,2094.73,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21094,3,Female,2020,6199,Value,3023,1000 No,1786.42,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,3,Female,2021,6199,Value,3023,1000 No,1642.39,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2007,6199,Value,3023,1000 No,23485.5,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2009,6199,Value,3023,1000 No,23482.18,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2010,6199,Value,3023,1000 No,24396.89,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2011,6199,Value,3023,1000 No,24610.67,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2012,6199,Value,3023,1000 No,24822.53,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2013,6199,Value,3023,1000 No,24897.43,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2014,6199,Value,3023,1000 No,25002.19,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2015,6199,Value,3023,1000 No,24458.28,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2016,6199,Value,3023,1000 No,24631.17,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2017,6199,Value,3023,1000 No,24822.14,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2018,6199,Value,3023,1000 No,25160.01,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2019,6199,Value,3023,1000 No,25355.84,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21095,1,Total,2020,6199,Value,3023,1000 No,25562.22,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,1,Total,2021,6199,Value,3023,1000 No,23562.91,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2007,6199,Value,3023,1000 No,11744.05,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2009,6199,Value,3023,1000 No,11966.4,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2010,6199,Value,3023,1000 No,12451.57,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2011,6199,Value,3023,1000 No,12508.03,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2012,6199,Value,3023,1000 No,12600.77,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2013,6199,Value,3023,1000 No,12608.28,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2014,6199,Value,3023,1000 No,12689.49,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2015,6199,Value,3023,1000 No,12484.08,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2016,6199,Value,3023,1000 No,12613.73,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2017,6199,Value,3023,1000 No,12788.39,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2018,6199,Value,3023,1000 No,13113.44,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2019,6199,Value,3023,1000 No,13221.18,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21095,2,Male,2020,6199,Value,3023,1000 No,13434.94,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,2,Male,2021,6199,Value,3023,1000 No,12442.8,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2007,6199,Value,3023,1000 No,11741.45,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2009,6199,Value,3023,1000 No,11515.78,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2010,6199,Value,3023,1000 No,11945.33,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2011,6199,Value,3023,1000 No,12102.64,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2012,6199,Value,3023,1000 No,12221.76,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2013,6199,Value,3023,1000 No,12289.15,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2014,6199,Value,3023,1000 No,12312.71,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2015,6199,Value,3023,1000 No,11974.2,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2016,6199,Value,3023,1000 No,12017.44,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2017,6199,Value,3023,1000 No,12033.75,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2018,6199,Value,3023,1000 No,12046.58,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2019,6199,Value,3023,1000 No,12134.66,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21095,3,Female,2020,6199,Value,3023,1000 No,12127.28,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21095,3,Female,2021,6199,Value,3023,1000 No,11120.11,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2007,6199,Value,3023,1000 No,2749.63,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2009,6199,Value,3023,1000 No,3012.78,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2010,6199,Value,3023,1000 No,3161.53,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2011,6199,Value,3023,1000 No,3609.86,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2012,6199,Value,3023,1000 No,3966.84,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2013,6199,Value,3023,1000 No,4386.69,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2014,6199,Value,3023,1000 No,4607.3,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2015,6199,Value,3023,1000 No,4670.73,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2016,6199,Value,3023,1000 No,4811.07,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2017,6199,Value,3023,1000 No,4857.68,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2018,6199,Value,3023,1000 No,4969.4,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2019,6199,Value,3023,1000 No,4712.21,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21096,1,Total,2020,6199,Value,3023,1000 No,4518.81,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,1,Total,2021,6199,Value,3023,1000 No,5519.38,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2007,6199,Value,3023,1000 No,1328.02,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2009,6199,Value,3023,1000 No,1493.54,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2010,6199,Value,3023,1000 No,1542.32,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2011,6199,Value,3023,1000 No,1781.21,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2012,6199,Value,3023,1000 No,1967.55,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2013,6199,Value,3023,1000 No,2169.1,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2014,6199,Value,3023,1000 No,2266.61,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2015,6199,Value,3023,1000 No,2292.64,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2016,6199,Value,3023,1000 No,2363.53,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2017,6199,Value,3023,1000 No,2463.64,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2018,6199,Value,3023,1000 No,2578.52,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2019,6199,Value,3023,1000 No,2449.07,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21096,2,Male,2020,6199,Value,3023,1000 No,2468.08,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,2,Male,2021,6199,Value,3023,1000 No,2758.59,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2007,6199,Value,3023,1000 No,1421.61,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2009,6199,Value,3023,1000 No,1519.23,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2010,6199,Value,3023,1000 No,1619.21,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2011,6199,Value,3023,1000 No,1828.65,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2012,6199,Value,3023,1000 No,1999.29,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2013,6199,Value,3023,1000 No,2217.6,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2014,6199,Value,3023,1000 No,2340.69,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2015,6199,Value,3023,1000 No,2378.09,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2016,6199,Value,3023,1000 No,2447.54,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2017,6199,Value,3023,1000 No,2394.05,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2018,6199,Value,3023,1000 No,2390.88,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2019,6199,Value,3023,1000 No,2263.14,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21096,3,Female,2020,6199,Value,3023,1000 No,2050.73,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21096,3,Female,2021,6199,Value,3023,1000 No,2760.79,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2007,6199,Value,3023,1000 No,1347.27,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2009,6199,Value,3023,1000 No,1355.29,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2010,6199,Value,3023,1000 No,1404.78,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2011,6199,Value,3023,1000 No,1510.46,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2012,6199,Value,3023,1000 No,1557.8,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2013,6199,Value,3023,1000 No,1660.81,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2014,6199,Value,3023,1000 No,1732.56,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2015,6199,Value,3023,1000 No,1781.68,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2016,6199,Value,3023,1000 No,1774.22,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2017,6199,Value,3023,1000 No,1751.49,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2018,6199,Value,3023,1000 No,1784.03,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2019,6199,Value,3023,1000 No,1869.11,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21092,1,Total,2020,6199,Value,3023,1000 No,1733.42,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,1,Total,2021,6199,Value,3023,1000 No,2500.19,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2007,6199,Value,3023,1000 No,671.62,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2009,6199,Value,3023,1000 No,671.19,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2010,6199,Value,3023,1000 No,688.53,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2011,6199,Value,3023,1000 No,745.07,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2012,6199,Value,3023,1000 No,743.25,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2013,6199,Value,3023,1000 No,792.14,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2014,6199,Value,3023,1000 No,819.38,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2015,6199,Value,3023,1000 No,881.01,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2016,6199,Value,3023,1000 No,872.2,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2017,6199,Value,3023,1000 No,875.45,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2018,6199,Value,3023,1000 No,895.34,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2019,6199,Value,3023,1000 No,887.78,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21092,2,Male,2020,6199,Value,3023,1000 No,864.94,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,2,Male,2021,6199,Value,3023,1000 No,1203.55,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2007,6199,Value,3023,1000 No,675.65,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2009,6199,Value,3023,1000 No,684.1,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2010,6199,Value,3023,1000 No,716.25,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2011,6199,Value,3023,1000 No,765.39,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2012,6199,Value,3023,1000 No,814.55,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2013,6199,Value,3023,1000 No,868.66,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2014,6199,Value,3023,1000 No,913.18,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2015,6199,Value,3023,1000 No,900.68,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2016,6199,Value,3023,1000 No,902.02,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2017,6199,Value,3023,1000 No,876.04,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2018,6199,Value,3023,1000 No,888.69,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2019,6199,Value,3023,1000 No,981.33,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21092,3,Female,2020,6199,Value,3023,1000 No,868.48,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21092,3,Female,2021,6199,Value,3023,1000 No,1296.64,X,Repository: ILO-STATISTICS - Micro data processing
