Domain Code,Area Code,Element Code,Element,Item Code,Year,Unit,Value,Flag,Note
QCL,237,5419,Yield,711,1995,100 g/ha,8000.0,E,nan
QCL,237,5510,Production,711,1995,t,1200.0,E,nan
QCL,237,5312,Area harvested,711,1996,ha,2500.0,E,nan
QCL,237,5419,Yield,711,1996,100 g/ha,8000.0,E,nan
QCL,237,5510,Production,711,1996,t,2000.0,E,nan
QCL,237,5312,Area harvested,711,1997,ha,2900.0,E,nan
QCL,237,5419,Yield,711,1997,100 g/ha,7586.0,E,nan
QCL,237,5510,Production,711,1997,t,2200.0,E,nan
QCL,237,5312,Area harvested,711,1998,ha,4000.0,E,nan
QCL,237,5419,Yield,711,1998,100 g/ha,7500.0,E,nan
QCL,237,5510,Production,711,1998,t,3000.0,E,nan
QCL,237,5312,Area harvested,711,1999,ha,3990.0,I,nan
QCL,237,5419,Yield,711,1999,100 g/ha,7524.0,E,nan
QCL,237,5510,Production,711,1999,t,3001.99,I,nan
QCL,237,5312,Area harvested,711,2000,ha,4300.0,E,nan
QCL,237,5419,Yield,711,2000,100 g/ha,7442.0,E,nan
QCL,237,5510,Production,711,2000,t,3200.0,E,nan
QCL,237,5312,Area harvested,711,2001,ha,4275.0,I,nan
QCL,237,5419,Yield,711,2001,100 g/ha,7430.0,E,nan
QCL,237,5510,Production,711,2001,t,3176.35,I,nan
QCL,237,5312,Area harvested,711,2002,ha,4383.0,I,nan
QCL,237,5419,Yield,711,2002,100 g/ha,7403.0,E,nan
QCL,237,5510,Production,711,2002,t,3244.44,I,nan
QCL,237,5312,Area harvested,711,2003,ha,4400.0,E,nan
QCL,237,5419,Yield,711,2003,100 g/ha,7500.0,E,nan
QCL,237,5510,Production,711,2003,t,3300.0,E,nan
QCL,237,5312,Area harvested,711,2004,ha,4643.0,I,nan
QCL,237,5419,Yield,711,2004,100 g/ha,7315.0,E,nan
QCL,237,5510,Production,711,2004,t,3396.46,I,nan
QCL,237,5312,Area harvested,711,2005,ha,4796.0,I,nan
QCL,237,5419,Yield,711,2005,100 g/ha,7243.0,E,nan
QCL,237,5510,Production,711,2005,t,3473.41,I,nan
QCL,237,5312,Area harvested,711,2006,ha,5049.0,I,nan
QCL,237,5419,Yield,711,2006,100 g/ha,7121.0,E,nan
QCL,237,5510,Production,711,2006,t,3595.58,I,nan
QCL,237,5312,Area harvested,711,2007,ha,5249.0,I,nan
QCL,237,5419,Yield,711,2007,100 g/ha,7025.0,E,nan
QCL,237,5510,Production,711,2007,t,3687.11,I,nan
QCL,237,5312,Area harvested,711,2008,ha,5445.0,I,nan
QCL,237,5419,Yield,711,2008,100 g/ha,6932.0,E,nan
QCL,237,5510,Production,711,2008,t,3774.38,I,nan
QCL,237,5312,Area harvested,711,2009,ha,5644.0,I,nan
QCL,237,5419,Yield,711,2009,100 g/ha,6839.0,E,nan
QCL,237,5510,Production,711,2009,t,3859.82,I,nan
QCL,237,5312,Area harvested,711,2010,ha,5843.0,I,nan
QCL,237,5419,Yield,711,2010,100 g/ha,6751.0,E,nan
QCL,237,5510,Production,711,2010,t,3944.15,I,nan
QCL,237,5312,Area harvested,711,2011,ha,6040.0,I,nan
QCL,237,5419,Yield,711,2011,100 g/ha,6669.0,E,nan
QCL,237,5510,Production,711,2011,t,4027.94,I,nan
QCL,237,5312,Area harvested,711,2012,ha,6500.0,E,nan
QCL,237,5419,Yield,711,2012,100 g/ha,6308.0,E,nan
QCL,237,5510,Production,711,2012,t,4100.0,E,nan
QCL,237,5312,Area harvested,711,2013,ha,6500.0,E,nan
QCL,237,5419,Yield,711,2013,100 g/ha,6462.0,E,nan
QCL,237,5510,Production,711,2013,t,4200.0,E,nan
QCL,237,5312,Area harvested,711,2014,ha,6589.0,I,nan
QCL,237,5419,Yield,711,2014,100 g/ha,6473.0,E,nan
QCL,237,5510,Production,711,2014,t,4265.25,I,nan
QCL,237,5312,Area harvested,711,2015,ha,6796.0,I,nan
QCL,237,5419,Yield,711,2015,100 g/ha,6430.0,E,nan
QCL,237,5510,Production,711,2015,t,4370.04,I,nan
QCL,237,5312,Area harvested,711,2016,ha,6628.0,E,nan
QCL,237,5419,Yield,711,2016,100 g/ha,6724.0,E,nan
QCL,237,5510,Production,711,2016,t,4457.06,I,nan
QCL,237,5312,Area harvested,711,2017,ha,12038.0,I,nan
QCL,237,5419,Yield,711,2017,100 g/ha,6596.0,E,nan
QCL,237,5510,Production,711,2017,t,7940.54,I,nan
QCL,237,5312,Area harvested,711,2018,ha,16895.0,I,nan
QCL,237,5419,Yield,711,2018,100 g/ha,6556.0,E,nan
QCL,237,5510,Production,711,2018,t,11076.08,I,nan
QCL,237,5312,Area harvested,711,2019,ha,22700.0,E,nan
QCL,237,5419,Yield,711,2019,100 g/ha,6608.0,E,nan
QCL,237,5510,Production,711,2019,t,15000.0,E,nan
QCL,237,5312,Area harvested,711,2020,ha,22700.0,E,nan
QCL,237,5419,Yield,711,2020,100 g/ha,6608.0,E,nan
QCL,237,5510,Production,711,2020,t,15000.0,E,nan
QCL,237,5312,Area harvested,711,2021,ha,25817.0,I,nan
QCL,237,5419,Yield,711,2021,100 g/ha,6443.0,E,nan
QCL,237,5510,Production,711,2021,t,16632.82,I,nan
QCL,237,5312,Area harvested,572,2017,ha,0.0,M,nan
QCL,237,5510,Production,572,2017,t,0.0,M,nan
QCL,237,5312,Area harvested,572,2018,ha,15796.0,A,nan
QCL,237,5419,Yield,572,2018,100 g/ha,49300.0,A,nan
QCL,237,5510,Production,572,2018,t,77874.0,A,nan
QCL,237,5312,Area harvested,572,2019,ha,10018.0,A,nan
QCL,237,5419,Yield,572,2019,100 g/ha,110321.0,A,nan
QCL,237,5510,Production,572,2019,t,110520.0,A,nan
QCL,237,5312,Area harvested,572,2020,ha,12927.0,A,nan
QCL,237,5419,Yield,572,2020,100 g/ha,122913.0,A,nan
QCL,237,5510,Production,572,2020,t,158889.0,A,nan
QCL,237,5312,Area harvested,572,2021,ha,16538.0,A,nan
QCL,237,5419,Yield,572,2021,100 g/ha,128780.0,A,nan
QCL,237,5510,Production,572,2021,t,212977.0,A,nan
QCL,237,5312,Area harvested,486,1961,ha,36300.0,E,nan
QCL,237,5419,Yield,486,1961,100 g/ha,99174.0,E,nan
QCL,237,5510,Production,486,1961,t,360000.0,E,nan
QCL,237,5312,Area harvested,486,1962,ha,37000.0,E,nan
QCL,237,5419,Yield,486,1962,100 g/ha,97838.0,E,nan
QCL,237,5510,Production,486,1962,t,362000.0,E,nan
QCL,237,5312,Area harvested,486,1963,ha,39000.0,E,nan
QCL,237,5419,Yield,486,1963,100 g/ha,98718.0,E,nan
QCL,237,5510,Production,486,1963,t,385000.0,E,nan
QCL,237,5312,Area harvested,486,1964,ha,40000.0,E,nan
QCL,237,5419,Yield,486,1964,100 g/ha,100000.0,E,nan
QCL,237,5510,Production,486,1964,t,400000.0,E,nan
QCL,237,5312,Area harvested,486,1965,ha,40000.0,E,nan
QCL,237,5419,Yield,486,1965,100 g/ha,102500.0,E,nan
QCL,237,5510,Production,486,1965,t,410000.0,E,nan
QCL,237,5312,Area harvested,486,1966,ha,39000.0,E,nan
QCL,237,5419,Yield,486,1966,100 g/ha,106410.0,E,nan
QCL,237,5510,Production,486,1966,t,415000.0,E,nan
QCL,237,5312,Area harvested,486,1967,ha,39000.0,E,nan
QCL,237,5419,Yield,486,1967,100 g/ha,110256.0,E,nan
QCL,237,5510,Production,486,1967,t,430000.0,E,nan
QCL,237,5312,Area harvested,486,1968,ha,39000.0,E,nan
QCL,237,5419,Yield,486,1968,100 g/ha,115385.0,E,nan
QCL,237,5510,Production,486,1968,t,450000.0,E,nan
QCL,237,5312,Area harvested,486,1969,ha,40000.0,E,nan
QCL,237,5419,Yield,486,1969,100 g/ha,115000.0,E,nan
QCL,237,5510,Production,486,1969,t,460000.0,E,nan
QCL,237,5312,Area harvested,486,1970,ha,41000.0,E,nan
QCL,237,5419,Yield,486,1970,100 g/ha,113415.0,E,nan
QCL,237,5510,Production,486,1970,t,465000.0,E,nan
QCL,237,5312,Area harvested,486,1971,ha,42000.0,E,nan
QCL,237,5419,Yield,486,1971,100 g/ha,111905.0,E,nan
QCL,237,5510,Production,486,1971,t,470000.0,E,nan
QCL,237,5312,Area harvested,486,1972,ha,46000.0,E,nan
QCL,237,5419,Yield,486,1972,100 g/ha,103261.0,E,nan
QCL,237,5510,Production,486,1972,t,475000.0,E,nan
QCL,237,5312,Area harvested,486,1973,ha,48000.0,E,nan
QCL,237,5419,Yield,486,1973,100 g/ha,99583.0,E,nan
QCL,237,5510,Production,486,1973,t,478000.0,E,nan
QCL,237,5312,Area harvested,486,1974,ha,53000.0,E,nan
QCL,237,5419,Yield,486,1974,100 g/ha,94340.0,E,nan
QCL,237,5510,Production,486,1974,t,500000.0,E,nan
QCL,237,5312,Area harvested,486,1975,ha,50000.0,E,nan
QCL,237,5419,Yield,486,1975,100 g/ha,96000.0,E,nan
QCL,237,5510,Production,486,1975,t,480000.0,E,nan
QCL,237,5312,Area harvested,486,1976,ha,54000.0,E,nan
QCL,237,5419,Yield,486,1976,100 g/ha,101852.0,E,nan
QCL,237,5510,Production,486,1976,t,550000.0,E,nan
QCL,237,5312,Area harvested,486,1977,ha,56000.0,E,nan
QCL,237,5419,Yield,486,1977,100 g/ha,107143.0,E,nan
QCL,237,5510,Production,486,1977,t,600000.0,E,nan
QCL,237,5312,Area harvested,486,1978,ha,58000.0,E,nan
QCL,237,5419,Yield,486,1978,100 g/ha,115517.0,E,nan
QCL,237,5510,Production,486,1978,t,670000.0,E,nan
QCL,237,5312,Area harvested,486,1979,ha,58400.0,A,nan
QCL,237,5419,Yield,486,1979,100 g/ha,132123.0,E,nan
QCL,237,5510,Production,486,1979,t,771600.0,A,nan
QCL,237,5312,Area harvested,486,1980,ha,67200.0,A,nan
QCL,237,5419,Yield,486,1980,100 g/ha,133140.0,E,nan
QCL,237,5510,Production,486,1980,t,894700.0,A,nan
QCL,237,5312,Area harvested,486,1981,ha,73000.0,E,nan
QCL,237,5419,Yield,486,1981,100 g/ha,123288.0,E,nan
QCL,237,5510,Production,486,1981,t,900000.0,E,nan
QCL,237,5312,Area harvested,486,1982,ha,74000.0,E,nan
QCL,237,5419,Yield,486,1982,100 g/ha,128378.0,E,nan
QCL,237,5510,Production,486,1982,t,950000.0,E,nan
QCL,237,5312,Area harvested,486,1983,ha,76000.0,E,nan
QCL,237,5419,Yield,486,1983,100 g/ha,118421.0,E,nan
QCL,237,5510,Production,486,1983,t,900000.0,E,nan
QCL,237,5312,Area harvested,486,1984,ha,78000.0,E,nan
QCL,237,5419,Yield,486,1984,100 g/ha,128205.0,E,nan
QCL,237,5510,Production,486,1984,t,1000000.0,E,nan
QCL,237,5312,Area harvested,486,1985,ha,80000.0,E,nan
QCL,237,5419,Yield,486,1985,100 g/ha,135000.0,E,nan
QCL,237,5510,Production,486,1985,t,1080000.0,E,nan
QCL,237,5312,Area harvested,486,1986,ha,80000.0,E,nan
QCL,237,5419,Yield,486,1986,100 g/ha,153013.0,I,nan
QCL,237,5510,Production,486,1986,t,1224100.0,A,nan
QCL,237,5312,Area harvested,486,1987,ha,80000.0,E,nan
QCL,237,5419,Yield,486,1987,100 g/ha,143750.0,E,nan
QCL,237,5510,Production,486,1987,t,1150000.0,E,nan
QCL,237,5312,Area harvested,486,1988,ha,83000.0,A,nan
QCL,237,5419,Yield,486,1988,100 g/ha,146386.0,E,nan
QCL,237,5510,Production,486,1988,t,1215000.0,A,nan
QCL,237,5312,Area harvested,486,1989,ha,84594.0,A,nan
QCL,237,5419,Yield,486,1989,100 g/ha,145066.0,E,nan
QCL,237,5510,Production,486,1989,t,1227170.0,A,nan
QCL,237,5312,Area harvested,486,1990,ha,88279.0,A,nan
QCL,237,5419,Yield,486,1990,100 g/ha,138357.0,E,nan
QCL,237,5510,Production,486,1990,t,1221400.0,A,nan
QCL,237,5312,Area harvested,486,1991,ha,89173.0,A,nan
QCL,237,5419,Yield,486,1991,100 g/ha,144248.0,A,nan
QCL,237,5510,Production,486,1991,t,1286300.0,A,nan
QCL,237,5312,Area harvested,486,1992,ha,90051.0,A,nan
QCL,237,5419,Yield,486,1992,100 g/ha,151637.0,A,nan
QCL,237,5510,Production,486,1992,t,1365504.0,A,nan
QCL,237,5312,Area harvested,486,1993,ha,94213.0,A,nan
QCL,237,5419,Yield,486,1993,100 g/ha,148359.0,A,nan
QCL,237,5510,Production,486,1993,t,1397739.0,A,nan
QCL,237,5312,Area harvested,486,1994,ha,91484.0,A,nan
QCL,237,5419,Yield,486,1994,100 g/ha,150308.0,A,nan
QCL,237,5510,Production,486,1994,t,1375081.0,A,nan
QCL,237,5312,Area harvested,486,1995,ha,91750.0,A,nan
QCL,237,5419,Yield,486,1995,100 g/ha,139753.0,A,nan
QCL,237,5510,Production,486,1995,t,1282231.0,A,nan
QCL,237,5312,Area harvested,486,1996,ha,95900.0,A,nan
QCL,237,5419,Yield,486,1996,100 g/ha,137508.0,A,nan
QCL,237,5510,Production,486,1996,t,1318700.0,A,nan
QCL,237,5312,Area harvested,486,1997,ha,92400.0,A,nan
QCL,237,5419,Yield,486,1997,100 g/ha,142435.0,A,nan
QCL,237,5510,Production,486,1997,t,1316100.0,A,nan
QCL,237,5312,Area harvested,486,1998,ha,89300.0,A,nan
QCL,237,5419,Yield,486,1998,100 g/ha,147278.0,A,nan
QCL,237,5510,Production,486,1998,t,1315190.0,A,nan
QCL,237,5312,Area harvested,486,1999,ha,95200.0,A,nan
QCL,237,5419,Yield,486,1999,100 g/ha,135336.0,A,nan
QCL,237,5510,Production,486,1999,t,1288400.0,A,nan
QCL,237,5312,Area harvested,486,2000,ha,98500.0,A,nan
QCL,237,5419,Yield,486,2000,100 g/ha,114193.0,A,nan
QCL,237,5510,Production,486,2000,t,1124800.0,A,nan
QCL,237,5312,Area harvested,486,2001,ha,100000.0,A,nan
QCL,237,5419,Yield,486,2001,100 g/ha,112550.0,A,nan
QCL,237,5510,Production,486,2001,t,1125500.0,A,nan
QCL,237,5312,Area harvested,486,2002,ha,95900.0,A,nan
QCL,237,5419,Yield,486,2002,100 g/ha,114390.0,A,nan
QCL,237,5510,Production,486,2002,t,1097000.0,A,nan
QCL,237,5312,Area harvested,486,2003,ha,88900.0,A,nan
QCL,237,5419,Yield,486,2003,100 g/ha,144184.0,A,nan
QCL,237,5510,Production,486,2003,t,1281800.0,A,nan
QCL,237,5312,Area harvested,486,2004,ha,92500.0,A,nan
QCL,237,5419,Yield,486,2004,100 g/ha,143719.0,A,nan
QCL,237,5510,Production,486,2004,t,1329400.0,A,nan
QCL,237,5312,Area harvested,486,2005,ha,93900.0,A,nan
QCL,237,5419,Yield,486,2005,100 g/ha,143152.0,A,nan
QCL,237,5510,Production,486,2005,t,1344200.0,A,nan
QCL,237,5312,Area harvested,486,2006,ha,94000.0,E,nan
QCL,237,5419,Yield,486,2006,100 g/ha,143617.0,E,nan
QCL,237,5510,Production,486,2006,t,1350000.0,E,nan
QCL,237,5312,Area harvested,486,2007,ha,95000.0,E,nan
QCL,237,5419,Yield,486,2007,100 g/ha,142632.0,E,nan
QCL,237,5510,Production,486,2007,t,1355000.0,E,nan
QCL,237,5312,Area harvested,486,2008,ha,95000.0,E,nan
QCL,237,5419,Yield,486,2008,100 g/ha,147368.0,E,nan
QCL,237,5510,Production,486,2008,t,1400000.0,E,nan
QCL,237,5312,Area harvested,486,2009,ha,99522.0,I,nan
QCL,237,5419,Yield,486,2009,100 g/ha,151742.0,E,nan
QCL,237,5510,Production,486,2009,t,1510168.65,I,nan
QCL,237,5312,Area harvested,486,2010,ha,103488.0,I,nan
QCL,237,5419,Yield,486,2010,100 g/ha,156369.0,E,nan
QCL,237,5510,Production,486,2010,t,1618231.44,I,nan
QCL,237,5312,Area harvested,486,2011,ha,106452.0,A,nan
QCL,237,5419,Yield,486,2011,100 g/ha,163682.0,A,nan
QCL,237,5510,Production,486,2011,t,1742424.4,A,nan
QCL,237,5312,Area harvested,486,2012,ha,108549.0,A,nan
QCL,237,5419,Yield,486,2012,100 g/ha,165081.0,A,nan
QCL,237,5510,Production,486,2012,t,1791937.0,A,nan
QCL,237,5312,Area harvested,486,2013,ha,112434.0,A,nan
QCL,237,5419,Yield,486,2013,100 g/ha,168324.0,A,nan
QCL,237,5510,Production,486,2013,t,1892523.0,A,nan
QCL,237,5312,Area harvested,486,2014,ha,114437.0,A,nan
QCL,237,5419,Yield,486,2014,100 g/ha,162329.0,A,nan
QCL,237,5510,Production,486,2014,t,1857641.0,A,nan
QCL,237,5312,Area harvested,486,2015,ha,118092.0,A,nan
QCL,237,5419,Yield,486,2015,100 g/ha,164561.0,A,nan
QCL,237,5510,Production,486,2015,t,1943337.2,A,nan
QCL,237,5312,Area harvested,486,2016,ha,120041.0,A,nan
QCL,237,5419,Yield,486,2016,100 g/ha,161773.0,A,nan
QCL,237,5510,Production,486,2016,t,1941935.0,A,nan
QCL,237,5312,Area harvested,486,2017,ha,125456.0,A,nan
QCL,237,5419,Yield,486,2017,100 g/ha,163033.0,A,nan
QCL,237,5510,Production,486,2017,t,2045351.78,A,nan
QCL,237,5312,Area harvested,486,2018,ha,128508.0,A,nan
QCL,237,5419,Yield,486,2018,100 g/ha,162424.0,A,nan
QCL,237,5510,Production,486,2018,t,2087274.64,A,nan
QCL,237,5312,Area harvested,486,2019,ha,133638.0,A,nan
QCL,237,5419,Yield,486,2019,100 g/ha,164193.0,A,nan
QCL,237,5510,Production,486,2019,t,2194247.09,A,nan
QCL,237,5312,Area harvested,486,2020,ha,136569.0,A,nan
QCL,237,5419,Yield,486,2020,100 g/ha,166034.0,A,nan
QCL,237,5510,Production,486,2020,t,2267520.24,A,nan
QCL,237,5312,Area harvested,486,2021,ha,138348.0,A,nan
QCL,237,5419,Yield,486,2021,100 g/ha,169636.0,A,nan
QCL,237,5510,Production,486,2021,t,2346877.71,A,nan
QCL,237,5312,Area harvested,176,1961,ha,72855.0,A,nan
QCL,237,5419,Yield,176,1961,100 g/ha,3569.0,I,nan
QCL,237,5510,Production,176,1961,t,26000.0,E,nan
QCL,237,5312,Area harvested,176,1962,ha,75752.0,A,nan
QCL,237,5419,Yield,176,1962,100 g/ha,3696.0,I,nan
QCL,237,5510,Production,176,1962,t,28000.0,E,nan
QCL,237,5312,Area harvested,176,1963,ha,77970.0,A,nan
QCL,237,5419,Yield,176,1963,100 g/ha,3078.0,I,nan
QCL,237,5510,Production,176,1963,t,24000.0,E,nan
QCL,237,5312,Area harvested,176,1964,ha,79510.0,A,nan
QCL,237,5419,Yield,176,1964,100 g/ha,3396.0,I,nan
QCL,237,5510,Production,176,1964,t,27000.0,E,nan
QCL,237,5312,Area harvested,176,1965,ha,81300.0,A,nan
QCL,237,5419,Yield,176,1965,100 g/ha,3567.0,I,nan
QCL,237,5510,Production,176,1965,t,29000.0,E,nan
QCL,237,5312,Area harvested,176,1966,ha,80050.0,A,nan
QCL,237,5419,Yield,176,1966,100 g/ha,3623.0,I,nan
QCL,237,5510,Production,176,1966,t,29000.0,E,nan
QCL,237,5312,Area harvested,176,1967,ha,90560.0,A,nan
QCL,237,5419,Yield,176,1967,100 g/ha,3865.0,I,nan
QCL,237,5510,Production,176,1967,t,35000.0,E,nan
QCL,237,5312,Area harvested,176,1968,ha,81405.0,A,nan
QCL,237,5419,Yield,176,1968,100 g/ha,3440.0,I,nan
QCL,237,5510,Production,176,1968,t,28000.0,E,nan
QCL,237,5312,Area harvested,176,1969,ha,73000.0,E,nan
QCL,237,5419,Yield,176,1969,100 g/ha,3699.0,E,nan
QCL,237,5510,Production,176,1969,t,27000.0,E,nan
QCL,237,5312,Area harvested,176,1970,ha,70000.0,E,nan
QCL,237,5419,Yield,176,1970,100 g/ha,3714.0,E,nan
QCL,237,5510,Production,176,1970,t,26000.0,E,nan
QCL,237,5312,Area harvested,176,1971,ha,69000.0,E,nan
QCL,237,5419,Yield,176,1971,100 g/ha,4058.0,E,nan
QCL,237,5510,Production,176,1971,t,28000.0,E,nan
QCL,237,5312,Area harvested,176,1972,ha,70000.0,E,nan
QCL,237,5419,Yield,176,1972,100 g/ha,4143.0,E,nan
QCL,237,5510,Production,176,1972,t,29000.0,E,nan
QCL,237,5312,Area harvested,176,1973,ha,65000.0,E,nan
QCL,237,5419,Yield,176,1973,100 g/ha,3846.0,E,nan
QCL,237,5510,Production,176,1973,t,25000.0,E,nan
QCL,237,5312,Area harvested,176,1974,ha,65000.0,E,nan
QCL,237,5419,Yield,176,1974,100 g/ha,4154.0,E,nan
QCL,237,5510,Production,176,1974,t,27000.0,E,nan
QCL,237,5312,Area harvested,176,1975,ha,53800.0,A,nan
QCL,237,5419,Yield,176,1975,100 g/ha,3885.0,E,nan
QCL,237,5510,Production,176,1975,t,20900.0,A,nan
QCL,237,5312,Area harvested,176,1976,ha,69900.0,A,nan
QCL,237,5419,Yield,176,1976,100 g/ha,4635.0,E,nan
QCL,237,5510,Production,176,1976,t,32400.0,A,nan
QCL,237,5312,Area harvested,176,1977,ha,85800.0,A,nan
QCL,237,5419,Yield,176,1977,100 g/ha,4510.0,E,nan
